,context_precision,context_recall,context_entity_recall,faithfulness,answer_relevancy,answer_correctness,answer_similarity
chunks_docling_hybrid,0.9339225588750208,0.7654941373534337,0.2589476957817206,0.911943219518977,0.8013917568684128,0.6173746481141784,0.6956888518034816
chunks_docling_hierarchical,0.9276094275610269,0.7378559463986599,0.28280834090982254,0.900634122995932,0.7890892647061949,0.6373146153455679,0.6928807720606054
chunks_langchain_recursive,0.9027777777303818,0.756076388888889,0.21513789233378144,0.8892983688795207,0.7865335655334373,0.5879170174861609,0.6731935309426124
